Sensor1,Sensor2,Sensor3,Sensor4,,Actual,Predicted
0.896,0.574,1.727,1.214,,Move-Forward,Move-Forward
1.078,0.593,1.144,1.175,,Sharp-Right-Turn,Sharp-Right-Turn
1.122,0.875,1.914,0.891,,Sharp-Right-Turn,Sharp-Right-Turn
0.811,1.032,0.877,2.595,,Move-Forward,Move-Forward
1.279,0.541,1.743,0.604,,Sharp-Right-Turn,Sharp-Right-Turn
1.481,0.495,1.811,1.299,,Sharp-Right-Turn,Sharp-Right-Turn
0.749,0.46,1.762,1.072,,Move-Forward,Move-Forward
1.335,0.644,3.067,0.876,,Sharp-Right-Turn,Sharp-Right-Turn
0.912,0.746,2.663,0.893,,Sharp-Right-Turn,Move-Forward
0.741,0.426,1.787,1.504,,Move-Forward,Move-Forward
0.967,0.635,1.034,1.118,,Sharp-Right-Turn,Move-Forward
0.768,0.681,1.536,0.773,,Move-Forward,Move-Forward
0.779,0.81,1.299,3.642,,Move-Forward,Move-Forward
3.001,0.682,1.565,0.7,,Sharp-Right-Turn,Sharp-Right-Turn
0.785,0.391,2.155,0.869,,Move-Forward,Move-Forward
0.835,0.484,1.938,1.376,,Move-Forward,Move-Forward
0.817,0.927,1.18,3.688,,Move-Forward,Move-Forward
1.391,0.635,1.476,0.778,,Sharp-Right-Turn,Sharp-Right-Turn
2.957,0.654,1.607,0.748,,Sharp-Right-Turn,Sharp-Right-Turn
0.584,0.515,1.854,1.023,,Move-Forward,Move-Forward
2.52,0.552,2.755,0.975,,Sharp-Right-Turn,Sharp-Right-Turn
0.769,0.386,2.657,0.909,,Move-Forward,Move-Forward
0.85,0.477,1.411,0.793,,Move-Forward,Move-Forward
1.141,0.574,3.125,1.069,,Sharp-Right-Turn,Sharp-Right-Turn
0.81,0.805,1.323,3.619,,Move-Forward,Move-Forward
2.626,0.68,2.145,0.958,,Sharp-Right-Turn,Sharp-Right-Turn
1.114,0.595,3.109,1.136,,Sharp-Right-Turn,Sharp-Right-Turn
0.769,0.683,1.531,0.748,,Move-Forward,Move-Forward
0.829,0.423,1.465,0.428,,Move-Forward,Move-Forward
0.658,0.521,3.199,1.291,,Move-Forward,Move-Forward
1.037,0.774,2.378,1.463,,Sharp-Right-Turn,Sharp-Right-Turn
1.271,0.511,2.8,0.756,,Sharp-Right-Turn,Sharp-Right-Turn
0.778,0.8,1.355,0.787,,Move-Forward,Move-Forward
0.809,0.529,0.877,1.298,,Move-Forward,Move-Forward
1.967,0.607,2.478,1.098,,Sharp-Right-Turn,Sharp-Right-Turn
1.309,0.616,2.052,0.63,,Sharp-Right-Turn,Sharp-Right-Turn
0.945,0.513,1.335,0.456,,Sharp-Right-Turn,Move-Forward
0.856,0.472,1.813,1.337,,Move-Forward,Move-Forward
0.808,0.51,1.726,1.317,,Move-Forward,Move-Forward
0.804,0.404,1.417,0.386,,Move-Forward,Move-Forward
0.769,0.871,1.335,0.796,,Move-Forward,Move-Forward
0.783,0.57,1.661,1.208,,Move-Forward,Move-Forward
1.442,0.697,2.975,1.135,,Sharp-Right-Turn,Sharp-Right-Turn
1.895,0.5,1.892,0.93,,Sharp-Right-Turn,Sharp-Right-Turn
0.845,0.615,1.054,1.128,,Move-Forward,Move-Forward
0.889,0.459,1.415,0.783,,Move-Forward,Move-Forward
0.83,0.442,1.467,0.481,,Move-Forward,Move-Forward
0.831,0.644,1.334,0.492,,Move-Forward,Move-Forward
1.119,0.682,1.8,0.998,,Sharp-Right-Turn,Sharp-Right-Turn
0.865,0.488,3.207,1.347,,Move-Forward,Move-Forward
0.934,0.634,3.052,1.766,,Sharp-Right-Turn,Move-Forward
2.371,0.508,1.787,1.338,,Sharp-Right-Turn,Sharp-Right-Turn
1.538,0.74,1.61,0.712,,Sharp-Right-Turn,Sharp-Right-Turn
2.248,0.593,1.693,1.056,,Sharp-Right-Turn,Sharp-Right-Turn
1.271,0.497,1.787,0.567,,Sharp-Right-Turn,Sharp-Right-Turn
1.038,0.701,2.98,0.788,,Sharp-Right-Turn,Sharp-Right-Turn
1.164,0.611,1.237,1.084,,Sharp-Right-Turn,Sharp-Right-Turn
0.902,0.684,1.427,0.667,,Sharp-Right-Turn,Move-Forward
1.456,0.771,1.516,0.757,,Sharp-Right-Turn,Sharp-Right-Turn
0.832,0.485,1.949,1.397,,Move-Forward,Move-Forward
0.831,0.911,2.094,1.469,,Move-Forward,Move-Forward
0.776,0.728,1.562,0.702,,Move-Forward,Move-Forward
2.828,0.604,1.666,0.879,,Sharp-Right-Turn,Sharp-Right-Turn
0.777,0.776,1.328,3.618,,Move-Forward,Move-Forward
1.209,0.585,1.588,0.981,,Sharp-Right-Turn,Sharp-Right-Turn
1.229,0.638,1.27,1.023,,Sharp-Right-Turn,Sharp-Right-Turn
3.09,0.769,1.483,0.616,,Sharp-Right-Turn,Sharp-Right-Turn
0.592,0.779,2.372,5,,Move-Forward,Move-Forward
0.794,0.569,1.341,0.537,,Move-Forward,Move-Forward
0.921,0.773,1.343,2.474,,Sharp-Right-Turn,Move-Forward
0.895,0.5,3.205,1.323,,Move-Forward,Move-Forward
3.215,0.822,1.43,0.489,,Sharp-Right-Turn,Sharp-Right-Turn
1.318,0.88,1.533,2.171,,Sharp-Right-Turn,Sharp-Right-Turn
0.835,3.652,1.246,2.587,,Move-Forward,Move-Forward
1.451,0.705,1.85,1.421,,Sharp-Right-Turn,Sharp-Right-Turn
2.765,0.598,1.674,0.925,,Sharp-Right-Turn,Sharp-Right-Turn
0.771,0.564,2.869,0.606,,Move-Forward,Move-Forward
1.427,0.701,2.972,1.148,,Sharp-Right-Turn,Sharp-Right-Turn
0.791,0.765,2.787,1.278,,Move-Forward,Move-Forward
0.852,0.873,1.415,0.429,,Move-Forward,Move-Forward
2.025,0.578,1.943,1.668,,Sharp-Right-Turn,Sharp-Right-Turn
2.127,0.503,1.876,1.568,,Sharp-Right-Turn,Sharp-Right-Turn
1.23,0.709,1.861,0.895,,Sharp-Right-Turn,Sharp-Right-Turn
0.808,0.562,1.696,1.177,,Move-Forward,Move-Forward
0.948,0.762,1.353,0.539,,Sharp-Right-Turn,Move-Forward
1.226,0.574,1.712,0.647,,Sharp-Right-Turn,Sharp-Right-Turn
3.329,0.817,1.449,0.382,,Sharp-Right-Turn,Sharp-Right-Turn
1.791,0.567,1.927,1.633,,Sharp-Right-Turn,Sharp-Right-Turn
0.82,0.403,1.441,0.47,,Move-Forward,Move-Forward
0.777,0.555,2.393,5,,Move-Forward,Move-Forward
1.436,0.84,1.498,2.129,,Sharp-Right-Turn,Sharp-Right-Turn
0.672,0.734,2.952,1.797,,Move-Forward,Move-Forward
0.808,0.497,1.965,1.432,,Move-Forward,Move-Forward
1.455,0.571,2.083,1.023,,Sharp-Right-Turn,Sharp-Right-Turn
2.471,0.589,1.652,0.946,,Sharp-Right-Turn,Sharp-Right-Turn
1.185,0.536,1.746,0.605,,Sharp-Right-Turn,Sharp-Right-Turn
0.839,0.428,1.442,0.384,,Move-Forward,Move-Forward
0.792,0.766,2.787,1.277,,Move-Forward,Move-Forward
2.437,0.542,1.744,1.251,,Sharp-Right-Turn,Sharp-Right-Turn
0.792,0.671,1.354,0.717,,Move-Forward,Move-Forward
1.468,0.686,1.424,0.731,,Sharp-Right-Turn,Sharp-Right-Turn
0.664,0.702,2.972,2.024,,Move-Forward,Move-Forward
1.031,0.648,2.271,1.909,,Sharp-Right-Turn,Sharp-Right-Turn
0.775,0.745,2.144,5,,Move-Forward,Move-Forward
0.852,0.525,3.176,1.358,,Move-Forward,Move-Forward
0.883,0.725,1.5,0.748,,Move-Forward,Move-Forward
0.855,0.479,1.412,0.426,,Move-Forward,Move-Forward
1.331,0.64,1.477,0.86,,Sharp-Right-Turn,Sharp-Right-Turn
0.578,0.521,2.585,1.354,,Move-Forward,Move-Forward
0.873,0.731,1.386,0.541,,Move-Forward,Move-Forward
0.861,0.488,1.877,0.986,,Move-Forward,Move-Forward
0.729,0.469,2.31,0.465,,Move-Forward,Move-Forward
0.854,0.467,1.921,1.345,,Move-Forward,Move-Forward
0.899,0.664,1.593,1.334,,Move-Forward,Move-Forward
0.769,0.791,1.36,0.775,,Move-Forward,Move-Forward
0.776,0.778,1.33,3.62,,Move-Forward,Move-Forward
1.178,0.626,1.242,1.079,,Sharp-Right-Turn,Sharp-Right-Turn
0.805,0.393,1.421,0.438,,Move-Forward,Move-Forward
1.696,0.788,1.337,0.511,,Sharp-Right-Turn,Sharp-Right-Turn
1.403,0.652,1.467,0.794,,Sharp-Right-Turn,Sharp-Right-Turn
0.804,0.542,2.857,0.595,,Move-Forward,Move-Forward
1.149,0.595,1.596,1.054,,Sharp-Right-Turn,Sharp-Right-Turn
3.284,0.834,1.411,0.411,,Sharp-Right-Turn,Sharp-Right-Turn
0.819,0.772,1.45,0.796,,Move-Forward,Move-Forward
0.811,0.641,1.621,0.781,,Move-Forward,Move-Forward
1.052,0.653,1.618,0.726,,Sharp-Right-Turn,Sharp-Right-Turn
0.779,0.808,1.301,3.642,,Move-Forward,Move-Forward
0.83,0.523,1.442,0.438,,Move-Forward,Move-Forward
0.879,0.553,1.392,0.439,,Move-Forward,Move-Forward
0.807,0.814,1.289,0.854,,Move-Forward,Move-Forward
1.167,0.614,1.662,1.096,,Sharp-Right-Turn,Sharp-Right-Turn
1.158,0.582,1.59,1.023,,Sharp-Right-Turn,Sharp-Right-Turn
1.091,0.693,2.983,1.698,,Sharp-Right-Turn,Sharp-Right-Turn
1.988,0.533,2.136,0.877,,Sharp-Right-Turn,Sharp-Right-Turn
0.935,0.618,1.717,1.188,,Sharp-Right-Turn,Move-Forward
1.374,0.591,2.093,0.673,,Sharp-Right-Turn,Sharp-Right-Turn
1.735,0.774,1.341,0.452,,Sharp-Right-Turn,Sharp-Right-Turn
1.182,0.752,1.4,0.765,,Sharp-Right-Turn,Sharp-Right-Turn
1.131,0.86,1.336,2.326,,Sharp-Right-Turn,Sharp-Right-Turn
0.836,0.418,1.438,0.402,,Move-Forward,Move-Forward
0.596,0.761,2.925,1.525,,Move-Forward,Move-Forward
0.806,0.822,1.274,0.867,,Move-Forward,Move-Forward
1.733,0.773,1.342,0.454,,Sharp-Right-Turn,Sharp-Right-Turn
0.766,0.782,1.355,0.776,,Move-Forward,Move-Forward
1.041,0.714,2.959,0.804,,Sharp-Right-Turn,Sharp-Right-Turn
0.803,0.601,1.724,1.186,,Move-Forward,Move-Forward
1.245,0.648,1.309,1,,Sharp-Right-Turn,Sharp-Right-Turn
1.046,0.612,1.108,1.163,,Sharp-Right-Turn,Sharp-Right-Turn
1.253,0.59,2.124,0.664,,Sharp-Right-Turn,Sharp-Right-Turn
2.233,0.503,1.822,1.472,,Sharp-Right-Turn,Sharp-Right-Turn
1.27,0.601,1.559,0.905,,Sharp-Right-Turn,Sharp-Right-Turn
1.407,0.643,1.466,0.769,,Sharp-Right-Turn,Sharp-Right-Turn
0.77,0.799,2.75,4.331,,Move-Forward,Move-Forward
1.202,0.574,1.622,1.025,,Sharp-Right-Turn,Sharp-Right-Turn
0.844,0.469,1.501,0.569,,Move-Forward,Move-Forward
0.79,0.764,2.788,1.596,,Move-Forward,Move-Forward
0.785,0.762,1.495,1.492,,Move-Forward,Move-Forward
1.371,0.496,2.038,0.584,,Sharp-Right-Turn,Sharp-Right-Turn
1.266,0.552,1.749,0.972,,Sharp-Right-Turn,Sharp-Right-Turn
3.051,0.758,1.499,0.655,,Sharp-Right-Turn,Sharp-Right-Turn
0.856,0.689,3.005,1.64,,Move-Forward,Move-Forward
0.69,0.619,2.809,1.129,,Move-Forward,Move-Forward
1.369,0.628,2.785,0.59,,Sharp-Right-Turn,Sharp-Right-Turn
2.531,0.505,1.779,1.155,,Sharp-Right-Turn,Sharp-Right-Turn
1.172,0.575,1.85,1.522,,Sharp-Right-Turn,Sharp-Right-Turn
0.733,0.539,2.399,1.236,,Move-Forward,Move-Forward
1.047,0.709,2.964,1.182,,Sharp-Right-Turn,Sharp-Right-Turn
0.576,0.471,1.67,0.5,,Move-Forward,Move-Forward
1.669,0.775,1.349,0.533,,Sharp-Right-Turn,Sharp-Right-Turn
1.642,0.819,1.302,0.598,,Sharp-Right-Turn,Sharp-Right-Turn
0.828,0.489,3.211,1.399,,Move-Forward,Move-Forward
0.906,0.734,2.174,0.88,,Sharp-Right-Turn,Move-Forward
0.787,0.833,1.346,0.677,,Move-Forward,Move-Forward
1.32,0.512,1.68,0.9,,Sharp-Right-Turn,Sharp-Right-Turn
0.833,0.554,1.698,1.275,,Move-Forward,Move-Forward
0.768,0.753,3.25,0.648,,Move-Forward,Move-Forward
0.907,0.612,1.553,0.879,,Sharp-Right-Turn,Move-Forward
1.586,0.763,2.919,1.722,,Sharp-Right-Turn,Sharp-Right-Turn
0.866,0.496,3.198,1.372,,Move-Forward,Move-Forward
0.782,0.769,2.781,1.608,,Move-Forward,Move-Forward
0.797,0.666,2.741,0.719,,Move-Forward,Move-Forward
1.268,0.769,1.842,0.852,,Sharp-Right-Turn,Sharp-Right-Turn
1.315,0.731,1.909,0.807,,Sharp-Right-Turn,Sharp-Right-Turn
1.238,0.707,1.869,0.879,,Sharp-Right-Turn,Sharp-Right-Turn
0.793,0.842,2.871,0.561,,Move-Forward,Move-Forward
0.826,0.431,2.639,1.383,,Move-Forward,Move-Forward
2.585,0.574,1.714,1.111,,Sharp-Right-Turn,Sharp-Right-Turn
0.763,0.55,2.862,0.637,,Move-Forward,Move-Forward
0.986,0.516,1.779,1.218,,Sharp-Right-Turn,Sharp-Right-Turn
0.856,0.393,2.693,0.942,,Move-Forward,Move-Forward
2.089,0.569,2.787,0.798,,Sharp-Right-Turn,Sharp-Right-Turn
0.845,0.558,1.696,1.263,,Move-Forward,Move-Forward
1.344,0.496,2.843,0.692,,Sharp-Right-Turn,Sharp-Right-Turn
1.364,0.601,3.095,0.687,,Sharp-Right-Turn,Sharp-Right-Turn
1.421,0.721,1.624,2.077,,Sharp-Right-Turn,Sharp-Right-Turn
0.783,0.724,1.552,0.733,,Move-Forward,Move-Forward
0.828,0.458,1.452,0.454,,Move-Forward,Move-Forward
1.316,0.632,1.485,0.874,,Sharp-Right-Turn,Sharp-Right-Turn
0.877,0.451,1.424,0.481,,Move-Forward,Move-Forward
0.784,0.594,1.632,1.328,,Move-Forward,Move-Forward
0.768,0.397,2.761,0.925,,Move-Forward,Move-Forward
0.852,0.467,1.438,0.54,,Move-Forward,Move-Forward
1.471,0.719,1.554,0.771,,Sharp-Right-Turn,Sharp-Right-Turn
1.031,0.891,1.296,2.451,,Sharp-Right-Turn,Sharp-Right-Turn
0.851,0.471,1.415,0.532,,Move-Forward,Move-Forward
0.549,0.784,2.37,1.93,,Move-Forward,Move-Forward
0.783,0.488,1.794,1.083,,Move-Forward,Move-Forward
1.543,0.745,1.611,0.707,,Sharp-Right-Turn,Sharp-Right-Turn
0.942,0.765,2.864,1.781,,Sharp-Right-Turn,Move-Forward
0.804,0.611,1.626,1.305,,Move-Forward,Move-Forward
0.791,0.725,1.557,0.707,,Move-Forward,Move-Forward
2.64,0.685,2.729,0.96,,Sharp-Right-Turn,Sharp-Right-Turn
1.348,0.737,1.412,0.767,,Sharp-Right-Turn,Sharp-Right-Turn
1.466,0.774,1.569,0.748,,Sharp-Right-Turn,Sharp-Right-Turn
3.298,0.811,1.448,0.414,,Sharp-Right-Turn,Sharp-Right-Turn
0.895,0.578,1.717,1.215,,Move-Forward,Move-Forward
0.651,0.514,0.971,1.336,,Move-Forward,Move-Forward
0.865,0.463,1.44,0.8,,Move-Forward,Move-Forward
0.811,0.527,1.695,1.303,,Move-Forward,Move-Forward
0.785,0.374,2.212,0.92,,Move-Forward,Move-Forward
0.831,0.469,3.246,1.412,,Move-Forward,Move-Forward
0.804,0.617,1.624,1.306,,Move-Forward,Move-Forward
0.778,0.648,1.635,0.812,,Move-Forward,Move-Forward
0.885,0.755,1.386,0.785,,Move-Forward,Move-Forward
0.779,0.743,1.51,0.832,,Move-Forward,Move-Forward
1.576,0.759,1.356,0.641,,Sharp-Right-Turn,Sharp-Right-Turn
0.776,0.689,1.522,0.753,,Move-Forward,Move-Forward
0.878,0.695,1.255,0.514,,Move-Forward,Move-Forward
0.858,0.635,1.491,0.813,,Move-Forward,Move-Forward
0.78,0.778,1.327,3.622,,Move-Forward,Move-Forward
2.191,0.589,2.828,0.718,,Sharp-Right-Turn,Sharp-Right-Turn
0.802,0.52,3.165,1.192,,Move-Forward,Move-Forward
0.86,0.665,1.444,0.785,,Move-Forward,Move-Forward
0.876,0.714,1.542,1.411,,Move-Forward,Move-Forward
0.812,0.708,1.544,0.76,,Move-Forward,Move-Forward
0.857,0.492,2.568,1.36,,Move-Forward,Move-Forward
1.476,0.698,1.852,0.984,,Sharp-Right-Turn,Sharp-Right-Turn
0.814,0.84,1.275,2.625,,Move-Forward,Move-Forward
1.018,0.733,2.941,1.781,,Sharp-Right-Turn,Sharp-Right-Turn
2.051,0.563,2.146,0.827,,Sharp-Right-Turn,Sharp-Right-Turn
0.974,0.765,1.359,2.449,,Sharp-Right-Turn,Sharp-Right-Turn
1.087,0.592,3.092,1.153,,Sharp-Right-Turn,Sharp-Right-Turn
2.828,0.607,1.666,0.879,,Sharp-Right-Turn,Sharp-Right-Turn
0.814,0.886,1.228,2.644,,Move-Forward,Move-Forward
0.985,0.645,1.999,1.679,,Sharp-Right-Turn,Sharp-Right-Turn
1.98,0.546,1.918,1.703,,Sharp-Right-Turn,Sharp-Right-Turn
0.8,0.608,1.731,1.18,,Move-Forward,Move-Forward
1.664,0.741,1.377,0.521,,Sharp-Right-Turn,Sharp-Right-Turn
0.834,0.445,2.644,1.417,,Move-Forward,Move-Forward
1.285,0.507,2.81,0.742,,Sharp-Right-Turn,Sharp-Right-Turn
0.771,0.77,1.351,0.792,,Move-Forward,Move-Forward
1.815,0.746,2.217,0.926,,Sharp-Right-Turn,Sharp-Right-Turn
1.511,0.676,2.875,1.661,,Sharp-Right-Turn,Sharp-Right-Turn
0.583,0.52,3.168,1.356,,Move-Forward,Move-Forward
0.782,0.844,1.282,2.659,,Move-Forward,Move-Forward
1.411,0.853,1.474,2.249,,Sharp-Right-Turn,Sharp-Right-Turn
0.826,0.408,1.448,0.432,,Move-Forward,Move-Forward
0.822,0.663,1.604,0.783,,Move-Forward,Move-Forward
0.745,0.432,1.919,1.049,,Move-Forward,Move-Forward
0.952,0.687,1.586,1.869,,Sharp-Right-Turn,Move-Forward
1.246,0.638,1.305,1.006,,Sharp-Right-Turn,Sharp-Right-Turn
1.048,0.543,1.642,1.16,,Sharp-Right-Turn,Sharp-Right-Turn
0.821,0.815,1.302,3.628,,Move-Forward,Move-Forward
1.309,0.606,2.138,0.625,,Sharp-Right-Turn,Sharp-Right-Turn
1.974,0.495,1.962,1.712,,Sharp-Right-Turn,Sharp-Right-Turn
0.785,0.768,2.783,0.942,,Move-Forward,Move-Forward
1.293,0.625,1.542,0.895,,Sharp-Right-Turn,Sharp-Right-Turn
0.807,0.58,1.648,1.307,,Move-Forward,Move-Forward
1.33,0.508,1.664,1.06,,Sharp-Right-Turn,Sharp-Right-Turn
2.448,0.528,1.766,1.245,,Sharp-Right-Turn,Sharp-Right-Turn
2.562,0.658,2.052,0.943,,Sharp-Right-Turn,Sharp-Right-Turn
1.103,0.619,1.658,0.68,,Sharp-Right-Turn,Sharp-Right-Turn
0.858,0.507,2.559,1.355,,Move-Forward,Move-Forward
0.759,0.506,1.703,1.217,,Move-Forward,Move-Forward
1.468,0.678,2.296,0.774,,Sharp-Right-Turn,Sharp-Right-Turn
1.114,0.56,2.685,0.917,,Sharp-Right-Turn,Sharp-Right-Turn
0.792,0.902,2.759,0.977,,Move-Forward,Move-Forward
0.766,0.547,1.631,1.119,,Move-Forward,Move-Forward
0.939,0.76,2.167,0.87,,Sharp-Right-Turn,Move-Forward
2.641,0.634,1.592,0.776,,Sharp-Right-Turn,Sharp-Right-Turn
1.349,0.782,1.384,0.712,,Sharp-Right-Turn,Sharp-Right-Turn
0.805,0.954,1.26,3.715,,Move-Forward,Move-Forward
2.767,0.592,1.688,0.942,,Sharp-Right-Turn,Sharp-Right-Turn
0.553,0.734,2.931,5,,Move-Forward,Move-Forward
0.862,0.448,1.454,0.531,,Move-Forward,Move-Forward
3.163,0.589,1.474,0.54,,Sharp-Right-Turn,Sharp-Right-Turn
0.757,0.482,2.307,0.474,,Move-Forward,Move-Forward
0.822,0.914,1.261,2.601,,Move-Forward,Move-Forward
0.776,0.785,1.347,3.62,,Move-Forward,Move-Forward
1.132,0.602,3.093,1.118,,Sharp-Right-Turn,Sharp-Right-Turn
1.975,0.549,2.167,0.889,,Sharp-Right-Turn,Sharp-Right-Turn
0.831,0.475,0.909,1.412,,Move-Forward,Move-Forward
0.983,0.779,2.885,1.155,,Sharp-Right-Turn,Sharp-Right-Turn
1.22,0.566,1.625,1.007,,Sharp-Right-Turn,Sharp-Right-Turn
0.76,0.483,2.306,0.476,,Move-Forward,Move-Forward
2.486,0.54,1.751,1.207,,Sharp-Right-Turn,Sharp-Right-Turn
0.868,0.487,3.205,1.344,,Move-Forward,Move-Forward
1.265,0.714,1.325,0.852,,Sharp-Right-Turn,Sharp-Right-Turn
0.807,0.509,2.445,5,,Move-Forward,Move-Forward
0.982,0.828,1.307,2.453,,Sharp-Right-Turn,Sharp-Right-Turn
1.183,0.774,1.772,0.922,,Sharp-Right-Turn,Sharp-Right-Turn
0.806,0.501,1.749,1.199,,Move-Forward,Move-Forward
0.886,0.735,2.856,0.858,,Move-Forward,Move-Forward
0.814,0.887,1.226,2.649,,Move-Forward,Move-Forward
1.462,0.722,1.391,0.755,,Sharp-Right-Turn,Sharp-Right-Turn
0.849,0.518,3.166,1.355,,Move-Forward,Move-Forward
1.084,0.627,1.649,1.72,,Sharp-Right-Turn,Sharp-Right-Turn
0.78,0.786,1.327,3.625,,Move-Forward,Move-Forward
0.892,0.53,2.879,0.573,,Move-Forward,Move-Forward
0.804,0.589,1.651,1.299,,Move-Forward,Move-Forward
0.869,0.466,2.599,1.394,,Move-Forward,Move-Forward
0.982,0.632,2.061,1.584,,Sharp-Right-Turn,Sharp-Right-Turn
2.491,0.503,1.794,1.217,,Sharp-Right-Turn,Sharp-Right-Turn
0.818,0.507,3.176,1.415,,Move-Forward,Move-Forward
0.854,0.468,1.441,0.515,,Move-Forward,Move-Forward
0.803,0.871,1.258,2.688,,Move-Forward,Move-Forward
2.546,0.559,1.729,1.149,,Sharp-Right-Turn,Sharp-Right-Turn
0.755,0.689,1.56,0.678,,Move-Forward,Move-Forward
0.865,0.515,1.713,1.357,,Move-Forward,Move-Forward
1.04,0.536,2.752,0.837,,Sharp-Right-Turn,Sharp-Right-Turn
0.799,0.746,2.806,1.141,,Move-Forward,Move-Forward
1.698,0.775,1.34,0.503,,Sharp-Right-Turn,Sharp-Right-Turn
0.983,0.78,2.373,1.701,,Sharp-Right-Turn,Sharp-Right-Turn
0.792,0.766,2.786,1.278,,Move-Forward,Move-Forward
0.763,0.684,1.54,0.714,,Move-Forward,Move-Forward
0.801,0.621,0.862,1.303,,Move-Forward,Move-Forward
0.9,0.522,3.184,1.354,,Move-Forward,Move-Forward
0.794,0.782,2.03,1.966,,Move-Forward,Move-Forward
1.075,0.584,1.69,1.697,,Sharp-Right-Turn,Sharp-Right-Turn
0.922,0.656,1.766,1.068,,Sharp-Right-Turn,Move-Forward
0.756,0.459,1.764,1.07,,Move-Forward,Move-Forward
0.8,0.389,2.646,0.888,,Move-Forward,Move-Forward
1.439,0.698,2.975,1.156,,Sharp-Right-Turn,Sharp-Right-Turn
2.411,0.516,1.776,1.296,,Sharp-Right-Turn,Sharp-Right-Turn
1.081,0.734,1.149,1.027,,Sharp-Right-Turn,Sharp-Right-Turn
1.388,0.632,2.025,1.103,,Sharp-Right-Turn,Sharp-Right-Turn
0.508,0.45,2.64,1.386,,Move-Forward,Move-Forward
0.784,0.823,1.295,2.657,,Move-Forward,Move-Forward
1.14,0.647,3.047,1.07,,Sharp-Right-Turn,Sharp-Right-Turn
1.141,0.603,1.677,1.658,,Sharp-Right-Turn,Sharp-Right-Turn
0.952,0.631,3.058,1.746,,Sharp-Right-Turn,Move-Forward
0.975,0.664,2.005,1.602,,Sharp-Right-Turn,Sharp-Right-Turn
1.202,0.704,1.27,0.915,,Sharp-Right-Turn,Sharp-Right-Turn
1.48,0.644,2.027,0.998,,Sharp-Right-Turn,Sharp-Right-Turn
0.837,0.476,0.909,1.412,,Move-Forward,Move-Forward
0.813,0.399,1.426,0.432,,Move-Forward,Move-Forward
1.367,0.724,1.585,2.117,,Sharp-Right-Turn,Sharp-Right-Turn
0.892,0.475,2.588,1.363,,Move-Forward,Move-Forward
